Publication Type;Authors;Book Authors;Book Editors;Book Group Authors;Author Full Names;Book Author Full Names;Group Authors;Article Title;Source Title;Book Series Title;Book Series Subtitle;Language;Document Type;Conference Title;Conference Date;Conference Location;Conference Sponsor;Conference Host;Author Keywords;Keywords Plus;Abstract;Addresses;Affiliations;Reprint Addresses;Email Addresses;Researcher Ids;ORCIDs;Funding Orgs;Funding Name Preferred;Funding Text;Cited References;Cited Reference Count;Times Cited, WoS Core;Times Cited, All Databases;180 Day Usage Count;Since 2013 Usage Count;Publisher;Publisher City;Publisher Address;ISSN;eISSN;ISBN;Journal Abbreviation;Journal ISO Abbreviation;Publication Date;Publication Year;Volume;Issue;Part Number;Supplement;Special Issue;Meeting Abstract;Start Page;End Page;Article Number;DOI;DOI Link;Book DOI;Early Access Date;Number of Pages;WoS Categories;Web of Science Index;Research Areas;IDS Number;Pubmed Id;Open Access Designations;Highly Cited Status;Hot Paper Status;Date of Export;UT (Unique WOS ID);Web of Science Record
C;Ma'ayan, DD;;;IEEE;Ma'ayan, Dor D.;;;The Quality of Junit Tests An Empirical Study Report;2018 IEEE/ACM 1ST INTERNATIONAL WORKSHOP ON SOFTWARE QUALITIES AND THEIR DEPENDENCIES (SQUADE);;;;;1st IEEE/ACM International Workshop on Software Qualities and their Dependencies (SQUADE);MAY 27-JUN 03, 2018;Gothenburg, SWEDEN;IEEE,Assoc Comp Machinery,IEEE Comp Soc,SIGSOFT,IEEE Tech Council Software Engn;;;;The quality of unit tests gains substantial importance in modern software systems. This work explores the way in which Junit tests are written in real world Java systems. We analyse 112 Java repositories and measure the quality of unit tests by finding patterns which indicate good practices of coding. Our results show that the quality of real world unit tests is low, and that in many cases, unit tests don't follow the well-known recommendations for writing unit tests. These early results demonstrate the need for more tools and techniques for refactoring of tests.;;;;;;Ma'ayan, Dor/0000-0002-7290-2789;;;;;;;;;;;;;;;978-1-4503-5737-1;;;;2018;;;;;;;33;36;;10.1145/3194095.3194102;http://dx.doi.org/10.1145/3194095.3194102;;;;;;;;;;;;;WOS:000449622800006;
C;"Trautsch, F; Grabowski, J";;;IEEE;"Trautsch, Fabian; Grabowski, Jens";;;Are there any Unit Tests? An Empirical Study on Unit Testing in Open Source Python Projects;2017 10TH IEEE INTERNATIONAL CONFERENCE ON SOFTWARE TESTING, VERIFICATION AND VALIDATION (ICST);IEEE International Conference on Software Testing Verification and Validation;;;;10th IEEE International Conference on Software Testing, Verification and Validation (ICSTW);MAR 13-17, 2017;Tokyo, JAPAN;IEEE,IEEE Comp Soc,ASTER,Waseda Univ,JSTQB,VERISERVE,Mistubishi Elect,NEC,JNOVEL,Google,UEC Tokyo,Hitachi,Univ Maryland Inst Adv Comp Studies,Univ Maryland, Comp Sci,IPA,Union Japanese Scientists & Engineers;;;;Unit testing is an essential practice in Extreme Programming (XP) and Test-driven Development (TDD) and used in many software lifecycle models. Additionally, a lot of literature deals with this topic. Therefore, it can be expected that it is widely used among developers. Despite its importance, there is no empirical study which investigates, whether unit tests are used by developers in real life projects at all. This paper presents such a study, where we collected and analyzed data from over 70K revisions of 10 different Python projects. Based on two different definitions of unit testing, we calculated the actual number of unit tests and compared it with the expected number (as inferred from the intentions of the developers), had a look at the mocking behavior of developers, and at the evolution of the number of unit tests. Our main findings show, (i) that developers believe that they are developing more unit tests than they actually do, (ii) most projects have a very small amount of unit tests, (iii) developers make use of mocks, but these do not have a significant influence on the number of unit tests, (iv) four different patterns for the evolution of the number of unit tests could be detected, and (v) the used unit test definition has an influence on the results.;;;;;;;;;;;;;;;;;;;2381-2834;;978-1-5090-6031-3;;;;2017;;;;;;;207;218;;10.1109/ICST.2017.26;http://dx.doi.org/10.1109/ICST.2017.26;;;;;;;;;;;;;WOS:000403393600019;
C;"Xu, GQ; Yang, ZY; Huang, HT; Chen, Q; Chen, L; Xu, FB";;;ieee computer society;"Xu, GQ; Yang, ZY; Huang, HT; Chen, Q; Chen, L; Xu, FB";;;JAOUT: Automated generation of aspect-oriented unit test;11TH ASIA-PACIFIC SOFTWARE ENGINEERING CONFERENCE, PROCEEDINGS;;;;;11th Asia-Pacific Software Engineering Conference (APSEC 2004);NOV 30-DEC 03, 2004;Busan, SOUTH KOREA;Korea Informat Sci Soc,Korea Soc Engn Fdn,Samsung Elect,Samsung SDS,LG Elect,Korea IT Ind Promto Agcy,Elect & Telecommun Res Inst;;;;Unit testing is a methodology for testing small parts of an application independently of whatever application uses them. It is time consuming and tedious to write unit tests, and it is especially difficult to write unit tests that model the pattern of usage of the application they will be used in. Aspect-Oriented Programming (AOP) addresses the problem of separation of concerns in programs which is well suited to unit test problems. What's more, unit tests should be made from different concerns in the application instead of just from functional assertions of correctness or error. In this paper, we firstly present a new concept, application-specific Aspects, which mean top-level aspects picked up from generic low-level aspects in AOP for specific use. It can be viewed as the separation of concerns on applications of generic low-level aspects. Second, this paper describes an Aspect-Oriented Test Description Language (AOTDL) and techniques to build top-level aspects for testing on generic aspects. Third, we generate JUnit unit testing framework and test oracles from AspectJ programs by integrating our tool with AspectJ and JUnit. We use runtime exceptions thrown by testing aspects to decide whether methods work well. Finally, we present a double-phase testing way to filter out meaningless test cases in our framework.;;;;;;;;;;;;;;;;;;;;;0-7695-2245-9;;;;2004;;;;;;;374;381;;;;;;;;;;;;;;;;WOS:000225885200042;
J;Vinarub, J;;;;Vinarub, Jordan;;;Unit testing the UI;DR DOBBS JOURNAL;;;;;;;;;;;;"By using the Model-View-Presenter pattern, Windows Forms 2.0, and automatic data binding, you can create a framework for unit testing the user interface. The pattern enforces a separation of concerns that keeps the UI thin, focusing only on visualization of data and binding to a presentation model. In this article, I present a basic calculator application that leverages this architecture and demonstrates the ease of unit testing from this framework. (The complete source code for the calculator is available electronically; see Resource Center, page 5).";;;;;;;;;;;;;;;;;;;1044-789X;;;;;AUG;2007;32;8;;;;;40;+;;;;;;;;;;;;;;;;WOS:000247910700013;
J;"Gergely, T; Balogh, G; Horváth, F; Vancsics, B; Beszédes, A; Gyimóthy, T";;;;"Gergely, Tamas; Balogh, Gergo; Horvath, Ferenc; Vancsics, Bela; Beszedes, Arpad; Gyimothy, Tibor";;;Differences between a static and a dynamic test-to-code traceability recovery method;SOFTWARE QUALITY JOURNAL;;;;;;;;;;;;Recovering test-to-code traceability links may be required in virtually every phase of development. This task might seem simple for unit tests thanks to two fundamental unit testing guidelines: isolation (unit tests should exercise only a single unit) and separation (they should be placed next to this unit). However, practice shows that recovery may be challenging because the guidelines typically cannot be fully followed. Furthermore, previous works have already demonstrated that fully automatic test-to-code traceability recovery for unit tests is virtually impossible in a general case. In this work, we propose a semi-automatic method for this task, which is based on computing traceability links using static and dynamic approaches, comparing their results and presenting the discrepancies to the user, who will determine the final traceability links based on the differences and contextual information. We define a set of discrepancy patterns, which can help the user in this task. Additional outcomes of analyzing the discrepancies are structural unit testing issues and related refactoring suggestions. For the static test-to-code traceability, we rely on the physical code structure, while for the dynamic, we use code coverage information. In both cases, we compute combined test and code clusters which represent sets of mutually traceable elements. We also present an empirical study of the method involving 8 non-trivial open source Java systems.;;;;;"Balogh, Gergő/ABA-7560-2021; Gergely, Tamás/ABA-7259-2021; Vancsics, Béla/ABB-3957-2021";"Balogh, Gergő/0000-0002-6781-5453; Gergely, Tamás/0000-0001-7504-3580; Vancsics, Béla/0000-0003-4584-3733; Beszedes, Arpad/0000-0002-5421-9302";;;;;;;;;;;;;0963-9314;1573-1367;;;;JUN;2019;27;2;;;SI;;797;822;;10.1007/s11219-018-9430-x;http://dx.doi.org/10.1007/s11219-018-9430-x;;;;;;;;;;;;;WOS:000470767500012;
C;"Wang, S; Shrestha, N; Subburaman, AK; Wang, JJ; Wei, MS; Nagappan, N";;;IEEE Comp Soc;"Wang, Song; Shrestha, Nishtha; Subburaman, Abarna Kucheri; Wang, Junjie; Wei, Moshi; Nagappan, Nachiappan";;;Automatic Unit Test Generation for Machine Learning Libraries: How Far Are We?;2021 IEEE/ACM 43RD INTERNATIONAL CONFERENCE ON SOFTWARE ENGINEERING (ICSE 2021);International Conference on Software Engineering;;;;43rd IEEE/ACM International Conference on Software Engineering - Software Engineering in Practice (ICSE-SEIP) / 43rd ACM/IEEE International Conference on Software Engineering - New Ideas and Emerging Results (ICSE-NIER);MAY 25-28, 2021;ELECTR NETWORK;IEEE,Assoc Comp Machinery,IEEE Comp Soc,IEEE Tech Council Software Engn,ACM SIGSOFT;;;;Automatic unit test generation that explores the input space and produces effective test cases for given programs have been studied for decades. Many unit test generation tools that can help generate unit test cases with high structural coverage over a program have limn examined. However, the fact that existing test generation tools are mainly evaluated on general software programs calls into question about its practical effectiveness and usefulness for machine learning libraries, which are statistically-orientated and have fundamentally different nature and construction from general software projects. In this paper, we set out to investigate the effectiveness of existing unit test generation techniques on machine learning libraries. To investigate this issue. we conducted an empirical study on five widely-used machine learning libraries with two popular unit test case generation tools. i.e.. EVOSUITE and Randoop. We find that (1) most of themachine learning libraries do not maintain a high-qualify unit test suite regarding commonly applied quality metrics such as code coverage (on average is 34.1%) and mutation score ton average is 21.3%), (2) unit test ease generation tools, i.e., EVOSUITE mid Randoop, lead to clear improvements in code coverage and mutation score. however, the improvement is limited, and (3) there exist common patterns in the uncovered code across the live machine learning libraries that can he used to improve unit test case generation tasks.;;;;;;;;;;;;;;;;;;;0270-5257;;978-0-7381-1319-7;;;;2021;;;;;;;1548;1560;;10.1109/ICSE43902.2021.00138;http://dx.doi.org/10.1109/ICSE43902.2021.00138;;;;;;;;;;;;;WOS:000684601800125;
C;"Peng, ZD; Lin, XY; Niu, N";;"Krzhizhanovskaya, VV; Zavodszky, G; Lees, MH; Dongarra, JJ; Sloot, PMA; Brissos, S; Teixeira, J";;"Peng, Zedong; Lin, Xuanyi; Niu, Nan";;;Unit Tests of Scientific Software: A Study on SWMM;COMPUTATIONAL SCIENCE - ICCS 2020, PT VII;Lecture Notes in Computer Science;;;;20th Annual International Conference on Computational Science (ICCS);JUN 03-05, 2020;Amsterdam, NETHERLANDS;Univ Amsterdam,NTU Singapore,Univ Tennessee;;;;Testing helps assure software quality by executing program and uncovering bugs. Scientific software developers often find it challenging to carry out systematic and automated testing due to reasons like inherent model uncertainties and complex floating point computations. We report in this paper a manual analysis of the unit tests written by the developers of the Storm Water Management Model (SWMM). The results show that the 1,458 SWMM tests have a 54.0% code coverage and a 82.4% user manual coverage. We also observe a getter-setter-getter testing pattern from the SWMM unit tests. Based on these results, we offer insights to improve test development and coverage.;;;;;;"Peng, Zedong/0000-0002-5071-1586; Lin, Xuanyi/0000-0002-0343-7043";;;;;;;;;;;;;0302-9743;1611-3349;"978-3-030-50436-6; 978-3-030-50435-9";;;;2020;12143;;;;;;413;427;;10.1007/978-3-030-50436-6_30;http://dx.doi.org/10.1007/978-3-030-50436-6_30;;;;;;;;;;;;;WOS:000841686400030;
C;"Schimmel, J; Molitorisz, K; Jannesari, A; Tichy, WF";;;IEEE;"Schimmel, Jochen; Molitorisz, Korbinian; Jannesari, Ali; Tichy, Walter F.";;;Automatic Generation of Parallel Unit Tests;2013 8TH INTERNATIONAL WORKSHOP ON AUTOMATION OF SOFTWARE TEST (AST);;;;;8th International Workshop on Automation of Software Test (AST);MAY 18-19, 2013;San Francisco, CA;;;;;"Multithreaded software is subject to data races. Currently available data race detectors report such errors to the developer, but consume large amounts of time and memory; many approaches are not applicable for large software projects. Unit tests containing fractions of the program lead to better results. We propose AutoRT, an approach to automatically generate parallel unit tests as target for data race detectors from existing programs. AutoRT uses the Single Static Multiple Dynamic (SSMD) analysis pattern to reduce complexity and can therefore be used efficiently even in large software projects. We evaluate AutoRT using Microsoft CHESS and show that with SSMD all 110 data races contained in our sample programs can be located.";;;;;;Jannesari, Ali/0000-0001-8672-5317;;;;;;;;;;;;;;;978-1-4673-6161-3;;;;2013;;;;;;;40;46;;;;;;;;;;;;;;;;WOS:000332877400007;
J;"Nusbaum, BP; Nusbaum, AG";;;;"Nusbaum, Bernard P.; Nusbaum, Aron G.";;;Frontal Fibrosing Alopecia in a Man: Results of Follicular Unit Test Grafting;DERMATOLOGIC SURGERY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1076-0512;;;;;JUN;2010;36;6;;;;;958;961;;10.1111/j.1524-4725.2010.01580.x;http://dx.doi.org/10.1111/j.1524-4725.2010.01580.x;;;;;;;;;;;;;WOS:000277980300021;
J;"Elbaum, S; Chin, HN; Dwyer, MB; Jorde, M";;;;"Elbaum, Sebastian; Chin, Hui Nee; Dwyer, Matthew B.; Jorde, Matthew";;;Carving and Replaying Differential Unit Test Cases from System Test Cases;IEEE TRANSACTIONS ON SOFTWARE ENGINEERING;;;;;;;;;;;;Unit test cases are focused and efficient. System tests are effective at exercising complex usage patterns. Differential unit tests (DUTs) are a hybrid of unit and system tests that exploits their strengths. They are generated by carving the system components, while executing a system test case, that influence the behavior of the target unit and then reassembling those components so that the unit can be exercised as it was by the system test. In this paper, we show that DUTs retain some of the advantages of unit tests, can be automatically generated, and have the potential for revealing faults related to intricate system executions. We present a framework for carving and replaying DUTs that accounts for a wide variety of strategies and trade-offs, we implement an automated instance of the framework with several techniques to mitigate test cost and enhance flexibility and robustness, and we empirically assess the efficacy of carving and replaying DUTs on three software artifacts.;;;;;;Dwyer, Matthew/0000-0002-1937-1544;;;;;;;;;;;;;0098-5589;1939-3520;;;;JAN-FEB;2009;35;1;;;;;29;45;;10.1109/TSE.2008.103;http://dx.doi.org/10.1109/TSE.2008.103;;;;;;;;;;;;;WOS:000265089400002;
